Year	EW(m)	NS(m)	UD(m)
2011.91918	-0.01622	0.0502496	-0.03626
2011.9274	-0.01635	0.0500896	-0.04087
2011.93014	-0.01632	0.0496196	-0.04458
2011.93288	-0.01558	0.0491096	-0.04409
2011.93562	-0.01723	0.0490296	-0.0402
2011.93836	-0.01812	0.0486796	-0.03794
2011.9411	-0.01732	0.0502496	-0.03626
2011.94384	-0.01734	0.0500296	-0.03805
2011.94658	-0.01675	0.0495996	-0.04105
2011.94932	-0.0161	0.0505996	-0.04034
2011.95205	-0.01657	0.0500096	-0.04259
2011.95479	-0.01612	0.0488696	-0.04116
2011.95753	-0.01637	0.0486896	-0.04299
2011.96027	-0.01712	0.0492996	-0.04118
2011.96301	-0.01673	0.0496096	-0.04502
2011.96575	-0.01639	0.0489596	-0.04365
2011.96849	-0.01613	0.0502396	-0.04299
2011.97123	-0.0169	0.0505996	-0.04517
2011.97397	-0.01669	0.0492996	-0.04048
2011.97671	-0.01709	0.0503296	-0.04088
2011.97945	-0.01735	0.0507796	-0.04265
2011.98219	-0.01672	0.0511296	-0.043
2011.98493	-0.01702	0.0515196	-0.04112
2011.98767	-0.01627	0.0514596	-0.04385
2011.99041	-0.01628	0.0528096	-0.04499
2011.99315	-0.01651	0.0514996	-0.04383
2011.99589	-0.0163	0.0522296	-0.04421
2011.99863	-0.01571	0.0517296	-0.04512
2012.00137	-0.01667	0.0511396	-0.04124
2012.0041	-0.01531	0.0513196	-0.04362
2012.00683	-0.01761	0.0509496	-0.04065
2012.00956	-0.01753	0.0495996	-0.03548
2012.0123	-0.01733	0.0518896	-0.04432
2012.01503	-0.01721	0.0519296	-0.04812
2012.01776	-0.01736	0.0511996	-0.04543
2012.02049	-0.01711	0.0516496	-0.04373
2012.02322	-0.01697	0.0517896	-0.04285
2012.02596	-0.0166	0.0528496	-0.0449
2012.02869	-0.01678	0.0512096	-0.04474
2012.03415	-0.01469	0.0527896	-0.04883
2012.03689	-0.01738	0.0522596	-0.03975
2012.03962	-0.01793	0.0527296	-0.03745
2012.04235	-0.0169	0.0532596	-0.03789
2012.04508	-0.01771	0.0526496	-0.03704
2012.04781	-0.01816	0.0528896	-0.03618
2012.05055	-0.01765	0.0519396	-0.03867
2012.05328	-0.01569	0.0530396	-0.0429
2012.05601	-0.01621	0.0532296	-0.0369
2012.05874	-0.01766	0.0525696	-0.03623
2012.06148	-0.01794	0.0543296	-0.03864
2012.06421	-0.01768	0.0547596	-0.03742
2012.06694	-0.01683	0.0540796	-0.03827
2012.06967	-0.01623	0.0546596	-0.04018
2012.0724	-0.01645	0.0538696	-0.04055
2012.07514	-0.01534	0.0543896	-0.04203
2012.07787	-0.01682	0.0554796	-0.04106
2012.0806	-0.01639	0.0550596	-0.03902
2012.08333	-0.01608	0.0549896	-0.03886
2012.08607	-0.01773	0.0546096	-0.03948
