YYYY	EW(m)	NS(m)	UD(m)
2012.9194	-0.02389	0.0611544	-0.00867
2012.92213	-0.02287	0.0610444	-0.00404
2012.92486	-0.02317	0.0609844	-0.00276
2012.9276	-0.02383	0.0626544	-0.00604
2012.93033	-0.02234	0.0623044	-0.00357
2012.93306	-0.0229	0.0621944	-0.00644
2012.93579	-0.02163	0.0609844	-0.00516
2012.93852	-0.02344	0.0628244	-0.00903
2012.94126	-0.0247	0.0630644	-0.01134
2012.94399	-0.02419	0.0631644	-0.00803
2012.94672	-0.02441	0.0627244	-0.00848
2012.94945	-0.0242	0.0639144	-0.01204
2012.95219	-0.02468	0.0634944	-0.01361
2012.95492	-0.02351	0.0636344	-0.01058
2012.95765	-0.02244	0.0623344	-0.01254
2012.96038	-0.02387	0.0613444	-0.01243
2012.96311	-0.02447	0.0627544	-0.00632
2012.96585	-0.02419	0.0639944	-0.01021
2012.96858	-0.02329	0.0627344	-0.00701
2012.97131	-0.02326	0.0629844	-0.01024
2012.97404	-0.02408	0.0624944	-0.00736
2012.97678	-0.02449	0.0631444	-0.00578
2012.97951	-0.0236	0.0634544	-0.00596
2012.98224	-0.02466	0.0626644	-0.01013
2012.98497	-0.02492	0.0637444	-0.00806
2012.9877	-0.02489	0.0641244	-0.01098
2012.99044	-0.0237	0.0626944	-0.01396
2012.99317	-0.02429	0.0638944	-0.007
2012.9959	-0.02481	0.0645744	-0.00245
2012.99863	-0.02473	0.0647444	-0.00315
2013.00137	-0.02318	0.0640844	-0.00909
2013.00411	-0.02444	0.0637344	-0.01082
2013.00685	-0.02455	0.0649244	-0.00924
2013.00959	-0.02502	0.0638344	-0.00621
2013.01233	-0.02457	0.0638444	-0.00557
2013.01507	-0.02378	0.0646944	-0.00633
2013.01781	-0.02445	0.0644444	-0.00852
2013.02055	-0.0241	0.0649344	-0.00743
2013.02329	-0.02444	0.0645344	-0.00769
2013.02603	-0.02562	0.0653144	-0.00522
2013.02877	-0.02534	0.0663944	-0.00658
2013.03151	-0.02415	0.0656044	-0.00486
2013.03425	-0.02532	0.0662244	-0.0066
2013.03699	-0.02553	0.0661244	-0.00811
2013.03973	-0.02422	0.0667644	-0.01081
2013.04247	-0.02534	0.0666044	-0.01155
2013.04521	-0.02504	0.0656244	-0.00661
2013.04795	-0.02535	0.0676244	-0.00846
2013.05068	-0.02494	0.0668944	-0.01125
2013.05342	-0.02667	0.0651444	-0.01615
2013.05616	-0.026	0.0662744	-0.00911
2013.0589	-0.02554	0.0662844	-0.00401
2013.06164	-0.0256	0.0665444	-0.00785
2013.06438	-0.02552	0.0663944	-0.00686
2013.06712	-0.02538	0.0677844	-0.00807
2013.06986	-0.02582	0.0677644	-0.01053
2013.0726	-0.02679	0.0675644	-0.00903
2013.07534	-0.02607	0.0681244	-0.01107
2013.07808	-0.02553	0.0685344	-0.00994
2013.08082	-0.02533	0.0678044	-0.00989
2013.08356	-0.02451	0.0664644	-0.0132
2013.0863	-0.0242	0.0684244	-0.01068
2013.08904	-0.02427	0.0676444	-0.00945
2013.09178	-0.02167	0.0673844	-0.01922
2013.09452	-0.02534	0.0667344	-0.00736
2013.09726	-0.02483	0.0680844	-0.00748
2013.1	-0.0227	0.0672544	-0.01278
2013.10274	-0.02388	0.0676544	-0.01174
2013.10548	-0.0248	0.0692544	-0.01047
2013.10822	-0.0245	0.0690144	-0.01021
2013.11096	-0.02473	0.0697844	-0.00994
